"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","0.000348210004775203","No"
"0x000000000000084e91743124a982076c59f10084","1E-18","No"
"0x0000000000002d534ff79e9c69e7fcc742f0be83","15.794834853609","No"
"0x000000000000740a22fa209cf6806d38f7605385","1E-18","No"
"0x0000000000007f150bd6f54c40a34d7c3d5e9f56","150.654470633026","No"
"0x00000000002664633b221687a4ec73d78328d4b2","1E-18","No"
"0x000000000035b5e5ad9019092c665357240f594e","4.2E-17","No"
"0x00000000003b3cc22af3ae1eac0440bcee416b40","0.162010251539413","No"
"0x000000000057e8abd581828a2b40076852c0ba6e","0.435788716178198","No"
"0x00000000008c4fb1c916e0c88fd4cc402d935e7d","1E-18","No"
"0x00000000009c7f96284472465e1b5c44e8cfcda1","2.6E-17","No"
"0x0000000000b92ac90d898eba87fa5f2483f32234","2E-18","No"
"0x0000000000cbba74c365869ae50225f5596ad59c","80.3465963965815","No"
"0x0000000000d1d773661e4b2102bbe07d4dcde777","1E-18","No"
"0x0000000000f4def5f3572c846b1483daf4588d8f","20.7676240588295","No"
"0x0000000032705fdb24ec69e6bdd556ca5256bd85","0.00166570746476624","No"
"0x0000000033431f236e97fa549b367827360effd7","1E-18","No"
"0x00000000553a85582988aa8ad43fb7dda2466bc7","0.143303992966156","No"
"0x000000005736775feb0c8568e7dee77222a26880","9.1E-17","No"
"0x0000000057a888b5dc0a81f02c6f5c3b7d16b183","1E-18","No"
"0x000000005804b22091aa9830e50459a15e7c9241","1E-18","No"
"0x000000005a776aeb00c1fe837404bf3f6832b600","1E-18","No"
"0x000000005be1b41f8ed12d32409c8475e83f2ee3","1E-18","No"
"0x0000000071e801062eb0544403f66176bba42dc0","1E-18","No"
"0x00000000726422a6fecb4759b44d47e48cf746aa","3E-18","No"
"0x0000000094acb89a43eac2fbb3a07973efc2435c","478.865075169953","No"
"0x0000000099cb7fc48a935bceb9f05bbae54e8987","1.5E-17","No"
"0x00000000acd5ca17eee6d92d9ca121543126cce1","1E-18","No"
"0x00000000b1786c9698c160d78232c78d6f6474fe","0.260697040658879","No"
"0x00000000b2ff98680adaf8a3e382176bbfc34c8f","1.35328164489E-07","No"
"0x00000000b7ca7e12dcc72290d1fe47b2ef14c607","1.3E-17","No"
"0x00000000cd47aa64daf64f5144b0d7885754374c","1E-18","No"
"0x00000000dc0e59517a8114348d9130e7d3835832","1E-18","No"
"0x00000000e8080db3ed60313725643d38bec42071","1E-18","No"
"0x00000000e8b06d9bf77ba40fc89e4eaa4f225e5c","1E-18","No"
"0x00000000e9d7eee1c07d3d017cd18c3dab4c2ac0","1E-18","No"
"0x00000000f515b28e81a0e98ea3f4f816ef7e62b2","1E-18","No"
"0x0000001ea7022cd5d3666beb277c9dc323adc3d9","35.9096838711514","No"
"0x0000006daea1723962647b7e189d311d757fb793","24697267.2595731","No"
"0x0000007c68390193776e8b44df3b698d311070b9","9.67212909092417","No"
"0x000000917de6037d52b1f0a306eecd208405f7cd","1E-18","No"
"0x000000c52b33fa71614810224771dc8f3255b220","9E-18","No"
"0x000000ed5113006b6f24002dd7577bb547e2005a","1E-18","No"
